구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3.0,3.0,,심리학부,심리학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3.0,3.0,,심리학부,심리학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2.0,2.0,,심리학부,심리학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1.0,1.0,,심리학부,심리학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1.0,1.0,,심리학부,심리학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3.0,3.0,,심리학부,심리학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3.0,3.0,,심리학부,심리학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3.0,3.0,,심리학부,심리학부,,,,1
전공필수,PSYC201,심리학의기초I,1,,,,,,3.0,3.0,Mind&Machine,심리학부,심리학부,심리학부,,,2
전공필수,PSYC202,심리학의기초II,1,,,,,,3.0,3.0,Wellness&Wellbeing,심리학부,심리학부,심리학부,,,2
전공필수,PSYC209,초급심리통계,1,,,,,,3.0,3.0,Schema&Scale,심리학부,심리학부,심리학부,,,2
전공선택,PSYC216,학습심리학,2,1.0,,,,,3.0,3.0,Schema&Scale,심리학부,심리학부,심리학부,,,1
전공선택,PSYC220,심리학연구와활용,1,2.0,,,,,3.0,3.0,Leadership&Link,심리학부,심리학부,심리학부,,,1
전공선택,PSYC221,감각및지각심리학,2,1.0,,,,,3.0,3.0,Mind&Machine,심리학부,심리학부,심리학부,,,2
전공선택,PSYC224,기억심리학,2,1.0,,,,,3.0,3.0,Mind&Machine,심리학부,심리학부,심리학부,,,2
전공선택,PSYC225,인공지능의심리학,2,1.0,,,,,1.5,1.5,Schema&Scale,심리학부,심리학부,심리학부,,,1
